Date,CanonicalSymbol,Return,Volatility_20,Volume_Ratio
2000-02-01,AXISBANK,0.07915998224076759,0.045121007830814325,1.5859865072789678
2000-02-01,BPCL,-0.008503712815692954,0.029388666053120453,1.2295036249263505
2000-02-01,BRITANNIA,-0.020421624959598317,0.04148074660894426,0.5874216451324037
2000-02-01,CIPLA,0.03955338527432661,0.04098479872369381,0.9299602217203193
2000-02-01,DRREDDY,0.02447337850515141,0.04289481124056907,1.11974145827652
2000-02-01,EICHERMOT,-0.002910093816020032,0.04870273727072154,0.46709129511677283
2000-02-01,GAIL,0.0017086618338131299,0.02709768765665863,0.4911908966611276
2000-02-01,HDFCBANK,0.013459487023689265,0.041970454922989564,1.4937572651611322
2000-02-01,HINDALCO,0.013523310559502733,0.043275123260618026,1.939241485541048
2000-02-01,HINDUNILVR,-0.046434552282969443,0.03251196930523013,1.0456358312925946
2000-02-01,INFY,0.027098618676253183,0.05566450638599933,0.41841264624051644
2000-02-01,IOC,0.008697443058641285,0.03357740858232011,1.361157337367625
2000-02-01,ITC,0.013508024653164918,0.05306269160410293,1.0861571222941477
2000-02-01,M&M,-0.050812563942299716,0.04897948491437788,1.0238253099204153
2000-02-01,ONGC,0.025750943076354726,0.03726053686346293,1.5773301468077843
2000-02-01,RELIANCE,0.017979504880308195,0.036537102548477834,0.7761915793603692
2000-02-01,SBIN,0.007356052952976366,0.03869421564184245,0.6462471083404119
2000-02-01,SUNPHARMA,0.08001957841567875,0.04919594911818758,4.279136437704109
2000-02-01,TATASTEEL,0.00825267880606484,0.04178983335389388,0.6256755464648462
2000-02-01,TITAN,-0.009555072616434068,0.03184490464409102,0.2559553710144743
2000-02-01,VEDL,0.0056526347026155666,0.027349178146275147,0.7831175405630346
2000-02-01,WIPRO,0.0800001332382334,0.05665637058234391,1.2289048296577345
2000-02-02,AXISBANK,0.07934119304653287,0.0471748271556277,0.5562130177514792
2000-02-02,BPCL,0.056340136164630295,0.02727853427536545,2.979985423062482
2000-02-02,BRITANNIA,-0.0006152716983373052,0.04147750584848162,0.40000323954840694
2000-02-02,CIPLA,0.04210732601832157,0.04241649703854226,1.0633533136809625
2000-02-02,DRREDDY,0.0683807448192455,0.0417751236891586,1.2839939950320742
2000-02-02,EICHERMOT,0.08073964960840097,0.050581418833655516,0.9536669761161279
2000-02-02,GAIL,0.041809086896010594,0.028461583883720748,0.465627111027676
2000-02-02,HDFCBANK,0.012657919397577544,0.04197859695920862,1.2717364207243416
2000-02-02,HINDALCO,0.07999191423819152,0.04634416859206947,2.5584423931444733
2000-02-02,HINDUNILVR,0.03449088823448343,0.03320741597496107,0.8601842933366227
2000-02-02,INFY,-0.0069567053212670205,0.05239566269833675,0.5590697814687622
2000-02-02,IOC,0.05213563952090183,0.03541511101407853,1.877920272190476
2000-02-02,ITC,0.017817643010080042,0.053191171870472564,0.5678150559238369
2000-02-02,M&M,0.08009100043536899,0.04898112923977267,0.6687509983233753
2000-02-02,ONGC,-0.002091774603132368,0.03644004580832107,1.3067807768268598
2000-02-02,RELIANCE,0.01826064348462153,0.0331957164501408,0.7201127025797494
2000-02-02,SBIN,0.004056791873615184,0.035850616012913596,0.7076012179974382
2000-02-02,SUNPHARMA,0.07994063893737535,0.05145769022683604,4.325369127516779
2000-02-02,TATASTEEL,0.003914263640461879,0.04177902203491524,0.4942607130155435
2000-02-02,TITAN,-0.04192967547075499,0.03106087645569653,0.34492267034913604
2000-02-02,VEDL,0.024527618270373086,0.028262472653346745,0.6670672801251382
2000-02-02,WIPRO,0.0799996928906348,0.05665607962783594,0.05535555728928665
2000-02-03,AXISBANK,0.0790571644684146,0.048116056003929084,1.3614565208165343
2000-02-03,BPCL,-0.046215299515140806,0.02865163642694332,1.7386715891239797
2000-02-03,BRITANNIA,-0.023117355861346667,0.04140572271759084,0.920418897937197
2000-02-03,CIPLA,-0.021599696562343396,0.04243470134108039,0.4599422938966157
2000-02-03,DRREDDY,-0.0037769547597593656,0.041005974636350084,0.4654302847384933
2000-02-03,EICHERMOT,0.05940576485213356,0.04910563121087436,0.2809329749414723
2000-02-03,GAIL,-0.0016379556083575553,0.026537356438751922,2.4933724584584933
2000-02-03,HDFCBANK,-0.07397517385520258,0.04506174439950048,1.0292090725650835
2000-02-03,HINDALCO,0.03251177207580347,0.04301611975072435,1.847450463509397
2000-02-03,HINDUNILVR,0.012858504810233873,0.03197329167429962,0.5155447359715786
2000-02-03,INFY,0.010182113066679266,0.04943339015765043,0.3717650130826369
2000-02-03,IOC,-0.010863640456550638,0.03540037310905761,0.6735536224800588
2000-02-03,ITC,-0.006932474268352307,0.053048703106149085,0.35475137542710655
2000-02-03,M&M,-0.002593055414832568,0.047710830587817506,0.41461733667440853
2000-02-03,ONGC,-0.023060942756239933,0.03190008783896701,0.4380053908355795
2000-02-03,RELIANCE,0.004409985990562415,0.03259107846725822,0.5283918337517918
2000-02-03,SBIN,0.0456566398920788,0.03607740968348475,2.1038778185614206
2000-02-03,SUNPHARMA,-0.020650159859280315,0.050852982541657425,1.4729886704783743
2000-02-03,TATASTEEL,-0.007444093331906987,0.040674383884654566,1.188003701322184
2000-02-03,TITAN,-0.027498095754120655,0.028759973768876998,0.2833208410318565
2000-02-03,VEDL,0.006982437289368981,0.02841888802308372,0.5662902103516566
2000-02-03,WIPRO,0.07999950905263198,0.05807441878416638,0.251445217729564
2000-02-04,AXISBANK,0.07969129444832923,0.04854767518288054,0.5244287010238023
2000-02-04,BPCL,-0.028680142967403843,0.02658586800627654,0.4804169496587236
2000-02-04,BRITANNIA,-0.0009102142661496782,0.03808230320201815,1.069200803506803
2000-02-04,CIPLA,-0.021915456310050097,0.04104612100494982,0.47964691601824017
2000-02-04,DRREDDY,-0.0062064563337302925,0.03837830885893508,0.4038613709086223
2000-02-04,EICHERMOT,0.08071381088852858,0.04915522636087646,1.0032656023222062
2000-02-04,GAIL,-0.018047440413589966,0.02585350162218845,0.642191876322452
2000-02-04,HDFCBANK,0.013277411621184898,0.045027460508596996,0.9302011315234536
2000-02-04,HINDALCO,-0.04620112565027923,0.039254359675485524,0.9995720411436149
2000-02-04,HINDUNILVR,-0.037388661687912106,0.0322676795697351,0.31676516152603373
2000-02-04,INFY,0.061303685506974626,0.04759323529446629,1.2074968286360377
2000-02-04,IOC,-0.006550998099818295,0.03541716017828669,0.31360101803315554
2000-02-04,ITC,-0.01917924156047257,0.04972170530804332,0.44158106846329553
2000-02-04,M&M,-0.019260575238658095,0.047742633965824836,0.27062693875042465
2000-02-04,ONGC,0.0114447910158475,0.03185806408062315,0.6047966631908238
2000-02-04,RELIANCE,0.007317385911527419,0.03171568049703851,0.5737587402588294
2000-02-04,SBIN,-0.01120581330031123,0.03436778143408629,0.9678664253502008
