Date,Stocks,Anomalies,Anomaly_Breadth,Negative_Anomalies,Positive_Anomalies
2016-08-25,47,0,0.0,0,0
2016-08-26,47,0,0.0,0,0
2016-08-29,47,0,0.0,0,0
2016-08-30,47,0,0.0,0,0
2016-08-31,47,1,0.02127659574468085,0,1
2016-09-01,47,1,0.02127659574468085,1,0
2016-09-02,47,0,0.0,0,0
2016-09-06,47,0,0.0,0,0
2016-09-07,47,0,0.0,0,0
2016-09-08,47,0,0.0,0,0
2016-09-09,47,0,0.0,0,0
2016-09-12,47,0,0.0,0,0
2016-09-14,47,0,0.0,0,0
2016-09-15,47,0,0.0,0,0
2016-09-16,47,0,0.0,0,0
2016-09-19,47,0,0.0,0,0
2016-09-20,47,0,0.0,0,0
2016-09-21,47,0,0.0,0,0
2016-09-22,47,0,0.0,0,0
2016-09-23,47,0,0.0,0,0
2016-09-26,47,0,0.0,0,0
2016-09-27,47,0,0.0,0,0
2016-09-28,47,0,0.0,0,0
2016-09-29,47,1,0.02127659574468085,1,0
2016-09-30,47,0,0.0,0,0
2016-10-03,47,0,0.0,0,0
2016-10-04,47,0,0.0,0,0
2016-10-05,47,0,0.0,0,0
2016-10-06,47,0,0.0,0,0
2016-10-07,47,0,0.0,0,0
2016-10-10,47,0,0.0,0,0
2016-10-13,47,0,0.0,0,0
2016-10-14,47,0,0.0,0,0
2016-10-17,47,0,0.0,0,0
2016-10-18,47,0,0.0,0,0
2016-10-19,47,0,0.0,0,0
2016-10-20,47,0,0.0,0,0
2016-10-21,47,0,0.0,0,0
2016-10-24,47,0,0.0,0,0
2016-10-25,47,1,0.02127659574468085,0,1
2016-10-26,47,0,0.0,0,0
2016-10-27,47,0,0.0,0,0
2016-10-28,47,0,0.0,0,0
2016-11-29,47,0,0.0,0,0
2016-11-30,47,1,0.02127659574468085,0,1
2016-12-01,47,0,0.0,0,0
2016-12-02,47,0,0.0,0,0
2016-12-05,47,0,0.0,0,0
2016-12-06,47,0,0.0,0,0
2016-12-07,47,0,0.0,0,0
2016-12-08,47,0,0.0,0,0
2016-12-09,47,0,0.0,0,0
2016-12-12,47,0,0.0,0,0
2016-12-13,47,0,0.0,0,0
2016-12-14,47,0,0.0,0,0
2016-12-15,47,0,0.0,0,0
2016-12-16,47,0,0.0,0,0
2016-12-19,47,0,0.0,0,0
2016-12-20,47,0,0.0,0,0
2016-12-21,47,0,0.0,0,0
2016-12-22,47,0,0.0,0,0
2016-12-23,47,0,0.0,0,0
2016-12-26,47,0,0.0,0,0
2016-12-27,47,0,0.0,0,0
2016-12-28,47,0,0.0,0,0
2016-12-29,47,0,0.0,0,0
2016-12-30,47,0,0.0,0,0
2017-01-02,47,0,0.0,0,0
2017-01-03,47,0,0.0,0,0
2017-01-04,47,0,0.0,0,0
2017-01-05,47,0,0.0,0,0
2017-01-06,47,0,0.0,0,0
2017-01-09,47,0,0.0,0,0
2017-01-10,47,0,0.0,0,0
2017-01-11,47,0,0.0,0,0
2017-01-12,47,0,0.0,0,0
2017-01-13,47,0,0.0,0,0
2017-01-16,47,0,0.0,0,0
2017-01-17,47,0,0.0,0,0
2017-01-18,47,0,0.0,0,0
2017-01-19,47,0,0.0,0,0
2017-01-20,47,1,0.02127659574468085,1,0
2017-01-23,47,0,0.0,0,0
2017-01-24,47,0,0.0,0,0
2017-01-25,47,0,0.0,0,0
2017-01-27,47,0,0.0,0,0
2017-01-30,47,1,0.02127659574468085,0,1
2017-01-31,47,0,0.0,0,0
2017-02-01,47,0,0.0,0,0
2017-02-02,47,0,0.0,0,0
2017-02-03,47,0,0.0,0,0
2017-02-06,47,0,0.0,0,0
2017-02-07,47,0,0.0,0,0
2017-02-08,47,1,0.02127659574468085,0,1
2017-02-09,47,0,0.0,0,0
2017-02-10,47,0,0.0,0,0
2017-02-13,47,0,0.0,0,0
2017-02-14,47,0,0.0,0,0
2017-02-15,47,0,0.0,0,0
2017-02-16,47,0,0.0,0,0
2017-02-17,47,1,0.02127659574468085,0,1
2017-02-20,47,0,0.0,0,0
2017-02-21,47,0,0.0,0,0
2017-02-22,47,1,0.02127659574468085,0,1
2017-02-23,47,0,0.0,0,0
2017-02-27,47,0,0.0,0,0
2017-02-28,47,1,0.02127659574468085,1,0
2017-03-01,47,0,0.0,0,0
2017-03-02,47,0,0.0,0,0
2017-03-03,47,0,0.0,0,0
2017-03-06,47,0,0.0,0,0
2017-03-07,47,0,0.0,0,0
2017-03-08,47,0,0.0,0,0
2017-03-09,47,0,0.0,0,0
2017-03-10,47,0,0.0,0,0
2017-03-14,47,0,0.0,0,0
2017-03-15,47,0,0.0,0,0
2017-03-16,47,0,0.0,0,0
2017-03-17,47,0,0.0,0,0
2017-03-20,47,0,0.0,0,0
2017-03-21,47,0,0.0,0,0
2017-03-22,47,0,0.0,0,0
2017-03-23,47,0,0.0,0,0
2017-03-24,47,0,0.0,0,0
2017-03-27,47,0,0.0,0,0
2017-03-28,47,0,0.0,0,0
2017-03-29,47,0,0.0,0,0
2017-03-30,47,0,0.0,0,0
2017-03-31,47,0,0.0,0,0
2017-04-03,47,0,0.0,0,0
2017-04-05,47,0,0.0,0,0
2017-04-06,47,0,0.0,0,0
2017-04-07,47,0,0.0,0,0
2017-04-10,47,0,0.0,0,0
2017-04-11,47,0,0.0,0,0
2017-04-12,47,0,0.0,0,0
2017-04-13,47,0,0.0,0,0
2017-04-17,47,0,0.0,0,0
2017-04-18,47,0,0.0,0,0
2017-04-19,47,0,0.0,0,0
2017-04-20,47,0,0.0,0,0
2017-04-21,47,0,0.0,0,0
2017-04-24,47,0,0.0,0,0
2017-04-25,47,0,0.0,0,0
2017-04-26,47,0,0.0,0,0
2017-04-27,47,0,0.0,0,0
2017-04-28,47,0,0.0,0,0
2017-05-02,47,0,0.0,0,0
2017-05-03,47,0,0.0,0,0
2017-05-04,47,1,0.02127659574468085,0,1
2017-05-05,47,0,0.0,0,0
2017-05-08,47,0,0.0,0,0
2017-05-09,47,0,0.0,0,0
2017-05-10,47,1,0.02127659574468085,0,1
2017-05-11,47,0,0.0,0,0
2017-05-12,47,0,0.0,0,0
2017-05-15,47,0,0.0,0,0
2017-05-16,47,0,0.0,0,0
2017-05-17,47,1,0.02127659574468085,0,1
2017-05-18,47,0,0.0,0,0
2017-05-19,47,0,0.0,0,0
2017-05-22,47,0,0.0,0,0
2017-05-23,47,0,0.0,0,0
2017-05-24,47,0,0.0,0,0
2017-05-25,47,0,0.0,0,0
2017-05-26,47,0,0.0,0,0
2017-05-29,47,2,0.0425531914893617,2,0
2017-05-30,47,0,0.0,0,0
2017-05-31,47,1,0.02127659574468085,0,1
2017-06-01,47,0,0.0,0,0
2017-06-02,47,0,0.0,0,0
2017-06-05,47,1,0.02127659574468085,0,1
2017-06-06,47,0,0.0,0,0
2017-06-07,47,0,0.0,0,0
2017-06-08,47,0,0.0,0,0
2017-06-09,47,0,0.0,0,0
2017-06-12,47,0,0.0,0,0
2017-06-13,47,0,0.0,0,0
2017-06-14,47,0,0.0,0,0
2017-06-15,47,0,0.0,0,0
2017-06-16,47,0,0.0,0,0
2017-06-19,47,0,0.0,0,0
2017-06-20,47,0,0.0,0,0
2017-06-21,47,0,0.0,0,0
2017-06-22,47,0,0.0,0,0
2017-06-23,47,0,0.0,0,0
2017-06-27,47,0,0.0,0,0
2017-06-28,47,0,0.0,0,0
2017-06-29,47,0,0.0,0,0
2017-06-30,47,0,0.0,0,0
2017-07-03,47,0,0.0,0,0
2017-07-04,47,0,0.0,0,0
2017-07-05,47,0,0.0,0,0
2017-07-06,47,0,0.0,0,0
2017-07-07,47,0,0.0,0,0
2017-07-10,47,0,0.0,0,0
2017-07-11,47,0,0.0,0,0
2017-07-12,47,0,0.0,0,0
2017-07-13,47,0,0.0,0,0
2017-07-14,47,0,0.0,0,0
2017-07-17,47,0,0.0,0,0
2017-07-18,47,1,0.02127659574468085,1,0
2017-07-19,47,0,0.0,0,0
2017-07-20,47,0,0.0,0,0
2017-07-21,47,0,0.0,0,0
2017-07-24,47,0,0.0,0,0
2017-07-25,47,0,0.0,0,0
2017-07-26,47,0,0.0,0,0
2017-07-27,47,0,0.0,0,0
2017-07-28,47,0,0.0,0,0
2017-07-31,47,0,0.0,0,0
2017-08-01,47,1,0.02127659574468085,0,1
2017-08-02,47,0,0.0,0,0
2017-08-03,47,0,0.0,0,0
2017-08-04,47,1,0.02127659574468085,0,1
2017-08-07,47,1,0.02127659574468085,0,1
2017-08-08,47,0,0.0,0,0
2017-08-09,47,0,0.0,0,0
2017-08-10,47,0,0.0,0,0
2017-08-11,47,0,0.0,0,0
2017-08-14,47,0,0.0,0,0
2017-08-16,47,0,0.0,0,0
2017-08-17,47,0,0.0,0,0
2017-08-18,47,1,0.02127659574468085,1,0
2017-08-21,47,0,0.0,0,0
2017-08-22,47,0,0.0,0,0
2017-08-23,47,0,0.0,0,0
2017-08-24,47,0,0.0,0,0
2017-08-28,47,0,0.0,0,0
2017-08-29,47,0,0.0,0,0
2017-08-30,47,0,0.0,0,0
2017-08-31,47,0,0.0,0,0
2017-09-01,47,1,0.02127659574468085,0,1
2017-09-04,47,0,0.0,0,0
2017-09-05,47,0,0.0,0,0
2017-09-06,47,0,0.0,0,0
2017-09-07,47,0,0.0,0,0
2017-09-08,47,0,0.0,0,0
2017-09-11,47,0,0.0,0,0
2017-09-12,47,0,0.0,0,0
2017-09-13,47,0,0.0,0,0
2017-09-14,47,0,0.0,0,0
2017-09-15,47,0,0.0,0,0
2017-09-18,47,0,0.0,0,0
2017-09-19,47,0,0.0,0,0
2017-09-20,47,0,0.0,0,0
2017-09-21,47,0,0.0,0,0
2017-09-22,47,0,0.0,0,0
2017-09-25,47,0,0.0,0,0
2017-09-26,47,0,0.0,0,0
2017-09-27,47,0,0.0,0,0
2017-09-28,47,0,0.0,0,0
2017-09-29,47,0,0.0,0,0
2017-10-03,47,0,0.0,0,0
2017-10-04,47,0,0.0,0,0
2017-10-05,47,0,0.0,0,0
2017-10-06,47,0,0.0,0,0
2017-10-09,47,0,0.0,0,0
2017-10-10,47,0,0.0,0,0
2017-10-11,47,0,0.0,0,0
2017-10-12,47,0,0.0,0,0
2017-10-13,47,1,0.02127659574468085,0,1
2017-10-16,47,0,0.0,0,0
2017-10-17,47,0,0.0,0,0
2017-10-18,47,1,0.02127659574468085,1,0
2017-10-19,47,0,0.0,0,0
2017-10-23,47,0,0.0,0,0
2017-10-24,47,0,0.0,0,0
2017-10-25,47,2,0.0425531914893617,0,2
2017-10-26,47,1,0.02127659574468085,1,0
2017-10-27,47,0,0.0,0,0
2017-10-30,47,0,0.0,0,0
2017-10-31,47,0,0.0,0,0
2017-11-01,47,0,0.0,0,0
2017-11-02,47,0,0.0,0,0
2017-11-03,47,0,0.0,0,0
2017-11-06,47,1,0.02127659574468085,0,1
2017-11-07,47,0,0.0,0,0
2017-11-08,47,0,0.0,0,0
2017-11-09,47,0,0.0,0,0
2017-11-10,47,0,0.0,0,0
2017-11-13,47,0,0.0,0,0
2017-11-14,47,0,0.0,0,0
2017-11-15,47,0,0.0,0,0
2017-11-16,47,0,0.0,0,0
2017-11-17,47,0,0.0,0,0
2017-11-20,47,0,0.0,0,0
2017-11-21,47,0,0.0,0,0
2017-11-22,47,0,0.0,0,0
2017-11-23,47,0,0.0,0,0
2017-11-24,47,0,0.0,0,0
2017-11-27,47,0,0.0,0,0
2017-11-28,47,0,0.0,0,0
2017-11-29,47,0,0.0,0,0
2017-11-30,47,1,0.02127659574468085,0,1
2017-12-01,47,0,0.0,0,0
2017-12-04,47,0,0.0,0,0
2017-12-05,47,0,0.0,0,0
2017-12-06,47,0,0.0,0,0
2017-12-07,47,0,0.0,0,0
2017-12-08,47,0,0.0,0,0
2017-12-11,47,0,0.0,0,0
2017-12-12,47,0,0.0,0,0
2017-12-13,47,0,0.0,0,0
2017-12-14,47,0,0.0,0,0
2017-12-15,47,0,0.0,0,0
2017-12-18,47,0,0.0,0,0
2017-12-19,47,0,0.0,0,0
2017-12-20,47,0,0.0,0,0
2017-12-21,47,0,0.0,0,0
2017-12-22,47,0,0.0,0,0
2017-12-26,47,0,0.0,0,0
2017-12-27,47,1,0.02127659574468085,0,1
2017-12-28,47,0,0.0,0,0
2017-12-29,47,0,0.0,0,0
2018-01-01,47,0,0.0,0,0
2018-01-02,47,0,0.0,0,0
2018-01-03,47,0,0.0,0,0
2018-01-04,47,0,0.0,0,0
2018-01-05,47,0,0.0,0,0
2018-01-08,47,0,0.0,0,0
